id,dateid,timeid,trading_symbol,comp_sentiment
835,35,1201,BTC,0.9628
836,35,1261,BTC,0.997
837,35,1321,BTC,0.0082
838,35,1381,BTC,0.5994
839,36,1,BTC,0.9325
840,36,601,BTC,0.9682
841,36,721,BTC,-0.0011
842,36,781,BTC,0.743
843,36,841,BTC,0.9781
844,36,1201,BTC,0.8934
845,36,1261,BTC,0.9682
846,36,1321,BTC,0.7964
847,36,1381,BTC,0.2047
848,36,241,BTC,0.9001
849,36,301,BTC,-0.765
850,36,481,BTC,0.071
851,36,541,BTC,-0.0339
852,37,1,BTC,0.9325
853,37,601,BTC,0.9985
854,37,721,BTC,0.3876
855,37,781,BTC,0.0086
856,37,841,BTC,0.0377
857,37,901,BTC,0.0448
858,37,961,BTC,0.9957
859,37,1021,BTC,0.4098
860,37,1081,BTC,0.3873
861,37,1141,BTC,0.9682
862,37,1201,BTC,0.6369
863,37,1261,BTC,0.9758
864,37,1321,BTC,0.9758
865,37,1381,BTC,0.7096
866,37,121,BTC,0.997
867,37,181,BTC,-0.8308
868,37,241,BTC,0.9853
869,37,361,BTC,0.6166
870,37,541,BTC,0.9549
871,38,601,BTC,0.9918
872,38,661,BTC,0.9682
873,38,721,BTC,0.7906
874,38,841,BTC,0.4
875,38,901,BTC,0.4178
876,38,961,BTC,0.3873
877,38,121,BTC,0.5719
878,38,301,BTC,-0.0027
879,38,481,BTC,-0.5423
880,38,541,BTC,0.3669
881,39,661,BTC,-0.2719
882,39,721,BTC,0.9819
883,39,781,BTC,0.9985
884,39,841,BTC,0.4412
885,39,901,BTC,0.999
886,39,961,BTC,0.9985
887,39,1021,BTC,0.999
888,39,1081,BTC,0.3082
889,39,1141,BTC,0.9682
890,39,1201,BTC,0.9984
891,39,1261,BTC,0.6486
892,39,301,BTC,0.2273
893,39,361,BTC,0.9719
894,39,421,BTC,0.9823
895,39,541,BTC,0.7506
896,40,1,BTC,0.9826
